rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok394.txt,WA,0.0,0.0
3,dok331.txt,WA,0.0,0.0
4,dok24.txt,WA,0.0,0.0
5,dok95.txt,WA,0.0,0.0
6,dok385.txt,WA,0.0,0.0
7,dok15.txt,WA,0.0,0.0
8,dok86.txt,WA,0.0,0.0
9,dok113.txt,WA,0.0,0.0
10,dok42.txt,WA,0.0,0.0
11,dok402.txt,WA,0.0,0.0
12,dok142.txt,WA,0.0,0.0
13,dok71.txt,WA,0.0,0.0
14,dok248.txt,WA,0.0,0.0
15,dok261.txt,WA,0.0,0.0
16,dok25.txt,AC,0.0625,0.05263157894736842
17,dok96.txt,AC,0.11764705882352941,0.10526315789473684
18,dok372.txt,WA,0.1111111111111111,0.10526315789473684
19,dok157.txt,AC,0.15789473684210525,0.15789473684210525
20,dok19.txt,WA,0.15,0.15789473684210525
21,dok90.txt,WA,0.14285714285714285,0.15789473684210525
22,dok390.txt,AC,0.18181818181818182,0.21052631578947367
23,dok382.txt,WA,0.17391304347826086,0.21052631578947367
24,dok380.txt,WA,0.16666666666666666,0.21052631578947367
25,dok393.txt,WA,0.16,0.21052631578947367
26,dok140.txt,WA,0.15384615384615385,0.21052631578947367
27,dok69.txt,WA,0.14814814814814814,0.21052631578947367
28,dok269.txt,WA,0.14285714285714285,0.21052631578947367
29,dok373.txt,WA,0.13793103448275862,0.21052631578947367
30,dok386.txt,WA,0.13333333333333333,0.21052631578947367
31,dok6.txt,WA,0.12903225806451613,0.21052631578947367
32,dok77.txt,WA,0.125,0.21052631578947367
33,dok159.txt,WA,0.12121212121212122,0.21052631578947367
34,dok274.txt,WA,0.11764705882352941,0.21052631578947367
35,dok115.txt,AC,0.14285714285714285,0.2631578947368421
36,dok44.txt,AC,0.16666666666666666,0.3157894736842105
37,dok123.txt,WA,0.16216216216216217,0.3157894736842105
38,dok52.txt,WA,0.15789473684210525,0.3157894736842105
39,dok378.txt,WA,0.15384615384615385,0.3157894736842105
40,dok18.txt,WA,0.15,0.3157894736842105
41,dok89.txt,WA,0.14634146341463414,0.3157894736842105
42,dok387.txt,AC,0.16666666666666666,0.3684210526315789
43,dok258.txt,WA,0.16279069767441862,0.3684210526315789
44,dok186.txt,WA,0.1590909090909091,0.3684210526315789
45,dok201.txt,WA,0.15555555555555556,0.3684210526315789
46,dok384.txt,WA,0.15217391304347827,0.3684210526315789
47,dok119.txt,WA,0.14893617021276595,0.3684210526315789
48,dok48.txt,WA,0.14583333333333334,0.3684210526315789
49,dok26.txt,WA,0.14285714285714285,0.3684210526315789
50,dok97.txt,WA,0.14,0.3684210526315789
51,dok302.txt,AC,0.1568627450980392,0.42105263157894735
52,dok27.txt,WA,0.15384615384615385,0.42105263157894735
53,dok98.txt,WA,0.1509433962264151,0.42105263157894735
54,dok2.txt,WA,0.14814814814814814,0.42105263157894735
55,dok73.txt,WA,0.14545454545454545,0.42105263157894735
56,dok80.txt,WA,0.14285714285714285,0.42105263157894735
57,dok9.txt,WA,0.14035087719298245,0.42105263157894735
58,dok243.txt,WA,0.13793103448275862,0.42105263157894735
59,dok391.txt,WA,0.13559322033898305,0.42105263157894735
60,dok162.txt,WA,0.13333333333333333,0.42105263157894735
61,dok263.txt,AC,0.14754098360655737,0.47368421052631576
62,dok237.txt,WA,0.14516129032258066,0.47368421052631576
63,dok268.txt,WA,0.14285714285714285,0.47368421052631576
64,dok325.txt,WA,0.140625,0.47368421052631576
65,dok231.txt,WA,0.13846153846153847,0.47368421052631576
66,dok351.txt,WA,0.13636363636363635,0.47368421052631576
67,dok102.txt,WA,0.13432835820895522,0.47368421052631576
68,dok31.txt,WA,0.1323529411764706,0.47368421052631576
69,dok383.txt,WA,0.13043478260869565,0.47368421052631576
70,dok139.txt,WA,0.12857142857142856,0.47368421052631576
71,dok68.txt,WA,0.1267605633802817,0.47368421052631576
72,dok126.txt,WA,0.125,0.47368421052631576
73,dok55.txt,WA,0.1232876712328767,0.47368421052631576
74,dok5.txt,WA,0.12162162162162163,0.47368421052631576
75,dok76.txt,WA,0.12,0.47368421052631576
76,dok198.txt,WA,0.11842105263157894,0.47368421052631576
77,dok304.txt,WA,0.11688311688311688,0.47368421052631576
78,dok333.txt,WA,0.11538461538461539,0.47368421052631576
79,dok16.txt,AC,0.12658227848101267,0.5263157894736842
80,dok87.txt,AC,0.1375,0.5789473684210527
81,dok20.txt,AC,0.14814814814814814,0.631578947368421
82,dok91.txt,AC,0.15853658536585366,0.6842105263157895
83,dok165.txt,AC,0.1686746987951807,0.7368421052631579
84,dok265.txt,AC,0.17857142857142858,0.7894736842105263
85,dok322.txt,AC,0.18823529411764706,0.8421052631578947
86,dok79.txt,WA,0.18604651162790697,0.8421052631578947
87,dok8.txt,WA,0.1839080459770115,0.8421052631578947
88,dok266.txt,AC,0.19318181818181818,0.8947368421052632
89,dok17.txt,AC,0.20224719101123595,0.9473684210526315
90,dok88.txt,AC,0.2111111111111111,1.0
91,dok388.txt,WA,0.2087912087912088,1.0
92,dok301.txt,WA,0.20652173913043478,1.0
93,dok190.txt,WA,0.20430107526881722,1.0
94,dok14.txt,WA,0.20212765957446807,1.0
95,dok85.txt,WA,0.2,1.0
96,dok355.txt,WA,0.19791666666666666,1.0
97,dok184.txt,WA,0.1958762886597938,1.0
98,dok167.txt,WA,0.19387755102040816,1.0
99,dok316.txt,WA,0.1919191919191919,1.0
average precision,0.12889433069996745
