rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok24.txt,WA,0.0,0.0
3,dok95.txt,WA,0.0,0.0
4,dok101.txt,WA,0.0,0.0
5,dok30.txt,WA,0.0,0.0
6,dok394.txt,WA,0.0,0.0
7,dok385.txt,WA,0.0,0.0
8,dok248.txt,WA,0.0,0.0
9,dok390.txt,WA,0.0,0.0
10,dok376.txt,AC,0.1,0.14285714285714285
11,dok402.txt,WA,0.09090909090909091,0.14285714285714285
12,dok111.txt,WA,0.08333333333333333,0.14285714285714285
13,dok40.txt,WA,0.07692307692307693,0.14285714285714285
14,dok372.txt,WA,0.07142857142857142,0.14285714285714285
15,dok187.txt,WA,0.06666666666666667,0.14285714285714285
16,dok197.txt,WA,0.0625,0.14285714285714285
17,dok149.txt,WA,0.058823529411764705,0.14285714285714285
18,dok172.txt,WA,0.05555555555555555,0.14285714285714285
19,dok261.txt,WA,0.05263157894736842,0.14285714285714285
20,dok360.txt,WA,0.05,0.14285714285714285
21,dok228.txt,WA,0.047619047619047616,0.14285714285714285
22,dok298.txt,AC,0.09090909090909091,0.2857142857142857
23,dok365.txt,WA,0.08695652173913043,0.2857142857142857
24,dok350.txt,WA,0.08333333333333333,0.2857142857142857
25,dok269.txt,WA,0.08,0.2857142857142857
26,dok368.txt,WA,0.07692307692307693,0.2857142857142857
27,dok202.txt,WA,0.07407407407407407,0.2857142857142857
28,dok144.txt,WA,0.07142857142857142,0.2857142857142857
29,dok370.txt,WA,0.06896551724137931,0.2857142857142857
30,dok178.txt,WA,0.06666666666666667,0.2857142857142857
31,dok6.txt,WA,0.06451612903225806,0.2857142857142857
32,dok77.txt,WA,0.0625,0.2857142857142857
33,dok399.txt,WA,0.06060606060606061,0.2857142857142857
34,dok115.txt,WA,0.058823529411764705,0.2857142857142857
35,dok44.txt,WA,0.05714285714285714,0.2857142857142857
36,dok318.txt,WA,0.05555555555555555,0.2857142857142857
37,dok217.txt,WA,0.05405405405405406,0.2857142857142857
38,dok392.txt,WA,0.05263157894736842,0.2857142857142857
39,dok224.txt,WA,0.05128205128205128,0.2857142857142857
40,dok340.txt,WA,0.05,0.2857142857142857
41,dok235.txt,AC,0.07317073170731707,0.42857142857142855
42,dok169.txt,WA,0.07142857142857142,0.42857142857142855
43,dok374.txt,WA,0.06976744186046512,0.42857142857142855
44,dok353.txt,WA,0.06818181818181818,0.42857142857142855
45,dok341.txt,WA,0.06666666666666667,0.42857142857142855
46,dok209.txt,WA,0.06521739130434782,0.42857142857142855
47,dok397.txt,WA,0.06382978723404255,0.42857142857142855
48,dok351.txt,WA,0.0625,0.42857142857142855
49,dok284.txt,WA,0.061224489795918366,0.42857142857142855
50,dok344.txt,AC,0.08,0.5714285714285714
51,dok194.txt,WA,0.0784313725490196,0.5714285714285714
52,dok379.txt,AC,0.09615384615384616,0.7142857142857143
53,dok338.txt,WA,0.09433962264150944,0.7142857142857143
54,dok175.txt,WA,0.09259259259259259,0.7142857142857143
55,dok272.txt,WA,0.09090909090909091,0.7142857142857143
56,dok186.txt,WA,0.08928571428571429,0.7142857142857143
57,dok198.txt,WA,0.08771929824561403,0.7142857142857143
58,dok310.txt,WA,0.08620689655172414,0.7142857142857143
59,dok249.txt,WA,0.0847457627118644,0.7142857142857143
60,dok401.txt,WA,0.08333333333333333,0.7142857142857143
61,dok369.txt,WA,0.08196721311475409,0.7142857142857143
62,dok151.txt,WA,0.08064516129032258,0.7142857142857143
63,dok123.txt,WA,0.07936507936507936,0.7142857142857143
64,dok52.txt,WA,0.078125,0.7142857142857143
65,dok312.txt,WA,0.07692307692307693,0.7142857142857143
66,dok233.txt,WA,0.07575757575757576,0.7142857142857143
67,dok349.txt,WA,0.07462686567164178,0.7142857142857143
68,dok245.txt,WA,0.07352941176470588,0.7142857142857143
69,dok219.txt,WA,0.07246376811594203,0.7142857142857143
70,dok166.txt,WA,0.07142857142857142,0.7142857142857143
71,dok188.txt,WA,0.07042253521126761,0.7142857142857143
72,dok231.txt,WA,0.06944444444444445,0.7142857142857143
73,dok347.txt,WA,0.0684931506849315,0.7142857142857143
74,dok176.txt,WA,0.06756756756756757,0.7142857142857143
75,dok375.txt,WA,0.06666666666666667,0.7142857142857143
76,dok339.txt,WA,0.06578947368421052,0.7142857142857143
77,dok282.txt,WA,0.06493506493506493,0.7142857142857143
78,dok313.txt,WA,0.0641025641025641,0.7142857142857143
79,dok279.txt,WA,0.06329113924050633,0.7142857142857143
80,dok184.txt,WA,0.0625,0.7142857142857143
81,dok129.txt,WA,0.06172839506172839,0.7142857142857143
82,dok58.txt,WA,0.06097560975609756,0.7142857142857143
83,dok352.txt,WA,0.060240963855421686,0.7142857142857143
84,dok170.txt,WA,0.05952380952380952,0.7142857142857143
85,dok301.txt,WA,0.058823529411764705,0.7142857142857143
86,dok190.txt,WA,0.05813953488372093,0.7142857142857143
87,dok204.txt,WA,0.05747126436781609,0.7142857142857143
88,dok183.txt,WA,0.056818181818181816,0.7142857142857143
89,dok314.txt,AC,0.06741573033707865,0.8571428571428571
90,dok358.txt,AC,0.07777777777777778,1.0
91,dok243.txt,WA,0.07692307692307693,1.0
92,dok240.txt,WA,0.07608695652173914,1.0
93,dok293.txt,WA,0.07526881720430108,1.0
94,dok165.txt,WA,0.07446808510638298,1.0
95,dok17.txt,WA,0.07368421052631578,1.0
96,dok88.txt,WA,0.07291666666666667,1.0
97,dok252.txt,WA,0.07216494845360824,1.0
98,dok266.txt,WA,0.07142857142857142,1.0
99,dok16.txt,WA,0.0707070707070707,1.0
100,dok87.txt,WA,0.07,1.0
average precision,0.06429071077595247
