rank,document,verdict,Precision,Recall
1,dok253.txt,WA,0.0,0.0
2,dok101.txt,WA,0.0,0.0
3,dok30.txt,WA,0.0,0.0
4,dok331.txt,WA,0.0,0.0
5,dok385.txt,WA,0.0,0.0
6,dok394.txt,WA,0.0,0.0
7,dok24.txt,WA,0.0,0.0
8,dok95.txt,WA,0.0,0.0
9,dok142.txt,WA,0.0,0.0
10,dok71.txt,WA,0.0,0.0
11,dok189.txt,WA,0.0,0.0
12,dok319.txt,WA,0.0,0.0
13,dok113.txt,WA,0.0,0.0
14,dok42.txt,WA,0.0,0.0
15,dok402.txt,WA,0.0,0.0
16,dok15.txt,WA,0.0,0.0
17,dok86.txt,WA,0.0,0.0
18,dok248.txt,WA,0.0,0.0
19,dok111.txt,WA,0.0,0.0
20,dok40.txt,WA,0.0,0.0
21,dok390.txt,WA,0.0,0.0
22,dok343.txt,WA,0.0,0.0
23,dok19.txt,WA,0.0,0.0
24,dok90.txt,WA,0.0,0.0
25,dok269.txt,WA,0.0,0.0
26,dok157.txt,WA,0.0,0.0
27,dok334.txt,WA,0.0,0.0
28,dok6.txt,WA,0.0,0.0
29,dok77.txt,WA,0.0,0.0
30,dok261.txt,WA,0.0,0.0
31,dok384.txt,WA,0.0,0.0
32,dok209.txt,WA,0.0,0.0
33,dok365.txt,WA,0.0,0.0
34,dok27.txt,WA,0.0,0.0
35,dok98.txt,WA,0.0,0.0
36,dok270.txt,AC,0.027777777777777776,0.2
37,dok386.txt,WA,0.02702702702702703,0.2
38,dok214.txt,WA,0.02631578947368421,0.2
39,dok3.txt,WA,0.02564102564102564,0.2
40,dok74.txt,WA,0.025,0.2
41,dok202.txt,WA,0.024390243902439025,0.2
42,dok217.txt,WA,0.023809523809523808,0.2
43,dok115.txt,WA,0.023255813953488372,0.2
44,dok44.txt,WA,0.022727272727272728,0.2
45,dok236.txt,WA,0.022222222222222223,0.2
46,dok23.txt,WA,0.021739130434782608,0.2
47,dok94.txt,WA,0.02127659574468085,0.2
48,dok279.txt,WA,0.020833333333333332,0.2
49,dok21.txt,WA,0.02040816326530612,0.2
50,dok92.txt,WA,0.02,0.2
51,dok401.txt,WA,0.0196078431372549,0.2
52,dok353.txt,WA,0.019230769230769232,0.2
53,dok290.txt,WA,0.018867924528301886,0.2
54,dok10.txt,WA,0.018518518518518517,0.2
55,dok81.txt,WA,0.01818181818181818,0.2
56,dok159.txt,WA,0.017857142857142856,0.2
57,dok7.txt,AC,0.03508771929824561,0.4
58,dok78.txt,AC,0.05172413793103448,0.6
59,dok176.txt,WA,0.05084745762711865,0.6
60,dok133.txt,AC,0.06666666666666667,0.8
61,dok62.txt,AC,0.08196721311475409,1.0
62,dok18.txt,WA,0.08064516129032258,1.0
63,dok89.txt,WA,0.07936507936507936,1.0
64,dok126.txt,WA,0.078125,1.0
65,dok55.txt,WA,0.07692307692307693,1.0
66,dok258.txt,WA,0.07575757575757576,1.0
67,dok80.txt,WA,0.07462686567164178,1.0
68,dok9.txt,WA,0.07352941176470588,1.0
69,dok103.txt,WA,0.07246376811594203,1.0
70,dok32.txt,WA,0.07142857142857142,1.0
71,dok203.txt,WA,0.07042253521126761,1.0
72,dok268.txt,WA,0.06944444444444445,1.0
73,dok325.txt,WA,0.0684931506849315,1.0
74,dok243.txt,WA,0.06756756756756757,1.0
75,dok2.txt,WA,0.06666666666666667,1.0
76,dok73.txt,WA,0.06578947368421052,1.0
77,dok280.txt,WA,0.06493506493506493,1.0
78,dok1.txt,WA,0.0641025641025641,1.0
79,dok72.txt,WA,0.06329113924050633,1.0
80,dok106.txt,WA,0.0625,1.0
81,dok35.txt,WA,0.06172839506172839,1.0
82,dok207.txt,WA,0.06097560975609756,1.0
83,dok304.txt,WA,0.060240963855421686,1.0
84,dok383.txt,WA,0.05952380952380952,1.0
85,dok107.txt,WA,0.058823529411764705,1.0
86,dok36.txt,WA,0.05813953488372093,1.0
87,dok13.txt,WA,0.05747126436781609,1.0
88,dok84.txt,WA,0.056818181818181816,1.0
89,dok12.txt,WA,0.056179775280898875,1.0
90,dok83.txt,WA,0.05555555555555555,1.0
91,dok79.txt,WA,0.054945054945054944,1.0
92,dok8.txt,WA,0.05434782608695652,1.0
93,dok252.txt,WA,0.053763440860215055,1.0
94,dok165.txt,WA,0.05319148936170213,1.0
95,dok17.txt,WA,0.05263157894736842,1.0
96,dok88.txt,WA,0.052083333333333336,1.0
97,dok16.txt,WA,0.05154639175257732,1.0
98,dok87.txt,WA,0.05102040816326531,1.0
99,dok266.txt,WA,0.050505050505050504,1.0
average precision,0.031884337785139855
