urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,presiden soekarno,
2,Siapa presiden pada masa orde baru?,bangsa indonesia,
3,Siapa presiden pada masa orde baru?,presiden soekarno,
4,Siapa presiden pada masa orde baru?,bangsa indonesia,
5,Siapa presiden pada masa orde baru?,presiden soekarno,
6,Dimana konferensi asia afrika diselenggarakan?,kolombo,
7,Dimana konferensi asia afrika diselenggarakan?,jenewa,
8,Dimana konferensi asia afrika diselenggarakan?,kolombo,
9,Dimana konferensi asia afrika diselenggarakan?,asia,
10,Dimana konferensi asia afrika diselenggarakan?,kolombo,
11,Siapa presiden pertama Indonesia?,presiden soekarno,
12,Siapa presiden pertama Indonesia?,pasukan sekutu,
13,Siapa presiden pertama Indonesia?,belanda,
14,Siapa presiden pertama Indonesia?,presiden pm,
15,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,
16,Kapan diponegoro wafat?,tahun 1389,
17,Kapan diponegoro wafat?,tahun 1389,
18,Kapan diponegoro wafat?,tanggal 12 rabiul awal 822,
19,Kapan diponegoro wafat?,tanggal 8 januari 1855,
20,Kapan diponegoro wafat?,tanggal 8 januari 1855,
21,Kapan perjanjian saragosa terjadi?,keesokan harinya,
22,Kapan perjanjian saragosa terjadi?,hari 17 boelan 8 tahoen 05,
23,Kapan perjanjian saragosa terjadi?,tanggal 15 agustus 1945,
24,Kapan perjanjian saragosa terjadi?,bulan juni 1948,
25,Kapan perjanjian saragosa terjadi?,tanggal 22 agustus 1945,
26,Kapan Budi Utomo didirikan?,tahun 1932,
27,Kapan Budi Utomo didirikan?,tanggal 7 maret 1915,
28,Kapan Budi Utomo didirikan?,tahun 1920,
29,Kapan Budi Utomo didirikan?,tahun 1913,
30,Kapan Budi Utomo didirikan?,tahun 1916,
31,Siapa pendiri Taman Siswa?,margono djojohadikusumo,
32,Siapa pendiri Taman Siswa?,indonesia,
33,Siapa pendiri Taman Siswa?,perdana menteri syahrir,
34,Siapa pendiri Taman Siswa?,perdana menteri syahrir,
