rank,document,verdict
1,dok315.txt,AC
2,dok273.txt,AC
3,dok142.txt,AC
4,dok71.txt,AC
5,dok394.txt,AC
6,dok139.txt,WA
7,dok68.txt,WA
8,dok343.txt,WA
9,dok353.txt,WA
10,dok271.txt,WA
11,dok327.txt,WA
12,dok103.txt,WA
13,dok32.txt,WA
14,dok165.txt,WA
15,dok17.txt,WA
16,dok88.txt,WA
17,dok217.txt,WA
18,dok385.txt,WA
19,dok15.txt,WA
20,dok86.txt,WA
21,dok224.txt,WA
22,dok159.txt,WA
23,dok176.txt,WA
24,dok229.txt,WA
25,dok348.txt,WA
26,dok140.txt,WA
27,dok69.txt,WA
28,dok209.txt,WA
29,dok1.txt,WA
30,dok72.txt,WA
31,dok243.txt,WA
32,dok220.txt,WA
33,dok111.txt,WA
34,dok40.txt,WA
35,dok162.txt,WA
36,dok390.txt,WA
37,dok115.txt,WA
38,dok44.txt,WA
39,dok189.txt,WA
40,dok319.txt,WA
41,dok280.txt,WA
42,dok201.txt,WA
43,dok261.txt,WA
44,dok131.txt,WA
45,dok60.txt,WA
46,dok130.txt,WA
47,dok59.txt,WA
48,dok203.txt,WA
49,dok28.txt,WA
50,dok99.txt,WA
