rank,document,verdict
1,dok253.txt,AC
2,dok402.txt,WA
3,dok252.txt,WA
4,dok198.txt,AC
5,dok365.txt,AC
6,dok248.txt,AC
7,dok353.txt,WA
8,dok190.txt,AC
9,dok261.txt,WA
10,dok301.txt,AC
11,dok177.txt,WA
12,dok166.txt,WA
13,dok159.txt,WA
14,dok172.txt,WA
15,dok15.txt,WA
16,dok86.txt,WA
17,dok165.txt,WA
18,dok17.txt,WA
19,dok88.txt,WA
20,dok115.txt,WA
21,dok44.txt,WA
22,dok111.txt,WA
23,dok40.txt,WA
24,dok142.txt,WA
25,dok71.txt,WA
26,dok101.txt,WA
27,dok30.txt,WA
28,dok275.txt,WA
29,dok189.txt,WA
30,dok319.txt,WA
31,dok240.txt,WA
32,dok243.txt,WA
33,dok269.txt,WA
34,dok203.txt,WA
35,dok291.txt,WA
36,dok266.txt,WA
37,dok129.txt,WA
38,dok58.txt,WA
39,dok16.txt,WA
40,dok87.txt,WA
41,dok392.txt,WA
42,dok209.txt,WA
43,dok202.txt,WA
44,dok168.txt,WA
45,dok279.txt,WA
46,dok176.txt,WA
47,dok385.txt,WA
48,dok371.txt,WA
49,dok331.txt,WA
50,dok24.txt,WA
