rank,document,verdict
1,dok396.txt,AC
2,dok2.txt,AC
3,dok73.txt,AC
4,dok15.txt,AC
5,dok86.txt,AC
6,dok304.txt,AC
7,dok1.txt,WA
8,dok72.txt,WA
9,dok25.txt,WA
10,dok96.txt,WA
11,dok157.txt,WA
12,dok19.txt,WA
13,dok90.txt,WA
14,dok303.txt,WA
15,dok121.txt,WA
16,dok50.txt,WA
17,dok397.txt,WA
18,dok280.txt,WA
19,dok309.txt,WA
20,dok260.txt,WA
21,dok154.txt,WA
22,dok168.txt,WA
23,dok331.txt,WA
24,dok365.txt,WA
25,dok179.txt,WA
26,dok80.txt,WA
27,dok9.txt,WA
28,dok151.txt,WA
29,dok310.txt,WA
30,dok394.txt,WA
31,dok3.txt,WA
32,dok74.txt,WA
33,dok274.txt,WA
34,dok383.txt,WA
35,dok142.txt,WA
36,dok71.txt,WA
37,dok271.txt,WA
38,dok327.txt,WA
39,dok24.txt,WA
40,dok95.txt,WA
41,dok384.txt,WA
42,dok6.txt,WA
43,dok77.txt,WA
44,dok102.txt,WA
45,dok31.txt,WA
46,dok330.txt,WA
47,dok248.txt,WA
48,dok116.txt,WA
49,dok45.txt,WA
50,dok220.txt,WA
