rank,document,verdict
1,dok2.txt,WA
2,dok73.txt,WA
3,dok142.txt,AC
4,dok71.txt,AC
5,dok241.txt,WA
6,dok6.txt,WA
7,dok77.txt,WA
8,dok343.txt,AC
9,dok384.txt,WA
10,dok394.txt,AC
11,dok126.txt,WA
12,dok55.txt,WA
13,dok140.txt,WA
14,dok69.txt,WA
15,dok102.txt,WA
16,dok31.txt,WA
17,dok5.txt,WA
18,dok76.txt,WA
19,dok201.txt,WA
20,dok186.txt,WA
21,dok24.txt,WA
22,dok95.txt,WA
23,dok231.txt,WA
24,dok351.txt,WA
25,dok4.txt,WA
26,dok75.txt,WA
27,dok402.txt,WA
28,dok243.txt,WA
29,dok108.txt,WA
30,dok198.txt,WA
31,dok242.txt,WA
32,dok357.txt,WA
33,dok37.txt,WA
34,dok387.txt,WA
35,dok393.txt,WA
36,dok253.txt,WA
37,dok248.txt,WA
38,dok396.txt,WA
39,dok3.txt,WA
40,dok74.txt,WA
41,dok25.txt,WA
42,dok96.txt,WA
43,dok385.txt,WA
44,dok147.txt,WA
45,dok153.txt,WA
46,dok289.txt,WA
47,dok269.txt,WA
48,dok372.txt,WA
49,dok157.txt,WA
50,dok274.txt,WA
