rank,document,verdict
1,dok126.txt,AC
2,dok55.txt,AC
3,dok6.txt,AC
4,dok77.txt,AC
5,dok195.txt,WA
6,dok385.txt,WA
7,dok386.txt,WA
8,dok384.txt,WA
9,dok24.txt,WA
10,dok95.txt,WA
11,dok127.txt,WA
12,dok56.txt,WA
13,dok2.txt,WA
14,dok73.txt,WA
15,dok264.txt,WA
16,dok186.txt,WA
17,dok80.txt,WA
18,dok9.txt,WA
19,dok25.txt,WA
20,dok96.txt,WA
21,dok372.txt,WA
22,dok157.txt,WA
23,dok11.txt,WA
24,dok82.txt,WA
25,dok328.txt,WA
26,dok365.txt,WA
27,dok396.txt,WA
28,dok176.txt,WA
29,dok269.txt,WA
30,dok253.txt,WA
31,dok10.txt,WA
32,dok81.txt,WA
33,dok111.txt,WA
34,dok40.txt,WA
35,dok402.txt,WA
36,dok102.txt,WA
37,dok31.txt,WA
38,dok393.txt,WA
39,dok243.txt,WA
40,dok380.txt,WA
41,dok378.txt,WA
42,dok202.txt,WA
43,dok294.txt,WA
44,dok201.txt,WA
45,dok297.txt,WA
46,dok15.txt,WA
47,dok86.txt,WA
48,dok130.txt,WA
49,dok59.txt,WA
50,dok206.txt,WA
51,dok363.txt,WA
52,dok351.txt,WA
53,dok231.txt,WA
54,dok267.txt,WA
55,dok308.txt,WA
56,dok397.txt,WA
57,dok128.txt,WA
58,dok57.txt,WA
59,dok203.txt,WA
60,dok198.txt,WA
61,dok295.txt,WA
62,dok156.txt,WA
63,dok241.txt,WA
64,dok113.txt,WA
65,dok42.txt,WA
66,dok79.txt,WA
67,dok8.txt,WA
68,dok146.txt,WA
69,dok147.txt,WA
70,dok153.txt,WA
71,dok289.txt,WA
72,dok387.txt,WA
73,dok191.txt,WA
74,dok326.txt,WA
75,dok248.txt,WA
76,dok108.txt,WA
77,dok37.txt,WA
78,dok284.txt,WA
79,dok236.txt,WA
80,dok166.txt,WA
81,dok4.txt,WA
82,dok75.txt,WA
83,dok132.txt,WA
84,dok61.txt,WA
85,dok242.txt,WA
86,dok357.txt,WA
87,dok331.txt,WA
88,dok368.txt,WA
89,dok144.txt,WA
90,dok268.txt,WA
91,dok325.txt,WA
92,dok185.txt,WA
93,dok392.txt,WA
94,dok383.txt,WA
95,dok13.txt,WA
96,dok84.txt,WA
97,dok117.txt,WA
98,dok46.txt,WA
99,dok189.txt,WA
100,dok319.txt,WA
