rank,document,verdict
1,dok24.txt,AC
2,dok95.txt,AC
3,dok385.txt,AC
4,dok353.txt,WA
5,dok159.txt,WA
6,dok20.txt,AC
7,dok91.txt,AC
8,dok165.txt,WA
9,dok17.txt,WA
10,dok88.txt,WA
11,dok269.txt,WA
12,dok334.txt,WA
13,dok6.txt,WA
14,dok77.txt,WA
15,dok79.txt,WA
16,dok8.txt,WA
17,dok113.txt,WA
18,dok42.txt,WA
19,dok128.txt,WA
20,dok57.txt,WA
21,dok275.txt,WA
22,dok331.txt,WA
23,dok15.txt,WA
24,dok86.txt,WA
25,dok183.txt,WA
26,dok21.txt,WA
27,dok92.txt,WA
28,dok176.txt,WA
29,dok365.txt,WA
30,dok157.txt,WA
31,dok115.txt,WA
32,dok44.txt,WA
33,dok319.txt,WA
34,dok189.txt,WA
35,dok111.txt,WA
36,dok40.txt,WA
37,dok397.txt,WA
38,dok188.txt,WA
39,dok261.txt,WA
40,dok394.txt,WA
41,dok203.txt,WA
42,dok220.txt,WA
43,dok126.txt,WA
44,dok55.txt,WA
45,dok389.txt,WA
46,dok243.txt,WA
47,dok402.txt,WA
48,dok209.txt,WA
49,dok280.txt,WA
50,dok101.txt,WA
51,dok30.txt,WA
52,dok162.txt,WA
53,dok248.txt,WA
54,dok2.txt,WA
55,dok73.txt,WA
56,dok217.txt,WA
57,dok240.txt,WA
58,dok253.txt,WA
59,dok266.txt,WA
60,dok16.txt,WA
61,dok87.txt,WA
62,dok22.txt,WA
63,dok93.txt,WA
64,dok230.txt,WA
65,dok279.txt,WA
66,dok236.txt,WA
67,dok368.txt,WA
68,dok11.txt,WA
69,dok82.txt,WA
70,dok290.txt,WA
71,dok401.txt,WA
72,dok3.txt,WA
73,dok74.txt,WA
74,dok180.txt,WA
75,dok200.txt,WA
76,dok164.txt,WA
77,dok287.txt,WA
78,dok207.txt,WA
79,dok272.txt,WA
80,dok297.txt,WA
81,dok227.txt,WA
82,dok192.txt,WA
83,dok224.txt,WA
84,dok130.txt,WA
85,dok59.txt,WA
86,dok390.txt,WA
87,dok202.txt,WA
88,dok252.txt,WA
89,dok398.txt,WA
90,dok374.txt,WA
91,dok19.txt,WA
92,dok90.txt,WA
93,dok166.txt,WA
94,dok127.txt,WA
95,dok56.txt,WA
96,dok214.txt,WA
97,dok270.txt,WA
98,dok156.txt,WA
99,dok134.txt,WA
100,dok63.txt,WA
