rank,document,verdict
1,dok149.txt,AC
2,dok293.txt,AC
3,dok340.txt,WA
4,dok216.txt,AC
5,dok347.txt,AC
6,dok336.txt,AC
7,dok338.txt,WA
8,dok219.txt,WA
9,dok253.txt,WA
10,dok231.txt,WA
11,dok351.txt,WA
12,dok169.txt,WA
13,dok150.txt,WA
14,dok379.txt,WA
15,dok190.txt,AC
16,dok234.txt,WA
17,dok301.txt,WA
18,dok151.txt,WA
19,dok358.txt,WA
20,dok353.txt,WA
21,dok401.txt,WA
22,dok375.txt,WA
23,dok310.txt,WA
24,dok298.txt,WA
25,dok314.txt,WA
26,dok374.txt,WA
27,dok275.txt,WA
28,dok148.txt,WA
29,dok172.txt,WA
30,dok245.txt,WA
31,dok239.txt,WA
32,dok285.txt,WA
33,dok123.txt,WA
34,dok52.txt,WA
35,dok181.txt,WA
36,dok337.txt,WA
37,dok228.txt,WA
38,dok248.txt,WA
39,dok205.txt,WA
40,dok312.txt,WA
41,dok249.txt,WA
42,dok376.txt,WA
43,dok187.txt,WA
44,dok194.txt,WA
45,dok227.txt,WA
46,dok360.txt,WA
47,dok394.txt,WA
48,dok103.txt,WA
49,dok32.txt,WA
50,dok200.txt,WA
51,dok365.txt,WA
52,dok193.txt,WA
53,dok129.txt,WA
54,dok58.txt,WA
55,dok111.txt,WA
56,dok40.txt,WA
57,dok377.txt,WA
58,dok373.txt,WA
59,dok270.txt,WA
60,dok250.txt,WA
61,dok282.txt,WA
62,dok399.txt,WA
63,dok385.txt,WA
64,dok393.txt,WA
65,dok390.txt,WA
66,dok237.txt,WA
67,dok266.txt,WA
68,dok16.txt,WA
69,dok87.txt,WA
70,dok115.txt,WA
71,dok44.txt,WA
72,dok217.txt,WA
73,dok24.txt,WA
74,dok95.txt,WA
75,dok166.txt,WA
76,dok11.txt,WA
77,dok82.txt,WA
78,dok189.txt,WA
79,dok319.txt,WA
80,dok176.txt,WA
81,dok402.txt,WA
82,dok233.txt,WA
83,dok214.txt,WA
84,dok271.txt,WA
85,dok327.txt,WA
86,dok117.txt,WA
87,dok46.txt,WA
88,dok197.txt,WA
89,dok142.txt,WA
90,dok71.txt,WA
91,dok133.txt,WA
92,dok62.txt,WA
93,dok188.txt,WA
94,dok400.txt,WA
95,dok378.txt,WA
96,dok146.txt,WA
97,dok392.txt,WA
98,dok220.txt,WA
99,dok203.txt,WA
100,dok107.txt,WA
