rank,document,verdict
1,dok142.txt,AC
2,dok71.txt,AC
3,dok394.txt,AC
4,dok353.txt,WA
5,dok343.txt,AC
6,dok241.txt,WA
7,dok6.txt,WA
8,dok77.txt,WA
9,dok159.txt,WA
10,dok2.txt,WA
11,dok73.txt,WA
12,dok140.txt,WA
13,dok69.txt,WA
14,dok165.txt,WA
15,dok17.txt,WA
16,dok88.txt,WA
17,dok115.txt,WA
18,dok44.txt,WA
19,dok111.txt,WA
20,dok40.txt,WA
21,dok101.txt,WA
22,dok30.txt,WA
23,dok275.txt,WA
24,dok189.txt,WA
25,dok319.txt,WA
26,dok240.txt,WA
27,dok243.txt,WA
28,dok269.txt,WA
29,dok203.txt,WA
30,dok266.txt,WA
31,dok129.txt,WA
32,dok58.txt,WA
33,dok16.txt,WA
34,dok87.txt,WA
35,dok252.txt,WA
36,dok392.txt,WA
37,dok365.txt,WA
38,dok209.txt,WA
39,dok202.txt,WA
40,dok279.txt,WA
41,dok176.txt,WA
42,dok385.txt,WA
43,dok371.txt,WA
44,dok331.txt,WA
45,dok248.txt,WA
46,dok24.txt,WA
47,dok95.txt,WA
48,dok261.txt,WA
49,dok272.txt,WA
50,dok401.txt,WA
51,dok227.txt,WA
52,dok340.txt,WA
53,dok253.txt,WA
54,dok374.txt,WA
55,dok124.txt,WA
56,dok53.txt,WA
57,dok206.txt,WA
58,dok217.txt,WA
59,dok126.txt,WA
60,dok55.txt,WA
61,dok113.txt,WA
62,dok42.txt,WA
63,dok180.txt,WA
64,dok402.txt,WA
65,dok188.txt,WA
66,dok204.txt,WA
67,dok295.txt,WA
68,dok230.txt,WA
69,dok162.txt,WA
70,dok334.txt,WA
71,dok193.txt,WA
72,dok183.txt,WA
73,dok224.txt,WA
74,dok196.txt,WA
75,dok376.txt,WA
76,dok177.txt,WA
77,dok207.txt,WA
78,dok250.txt,WA
79,dok280.txt,WA
80,dok149.txt,WA
81,dok231.txt,WA
82,dok351.txt,WA
83,dok150.txt,WA
84,dok258.txt,WA
85,dok169.txt,WA
86,dok166.txt,WA
87,dok11.txt,WA
88,dok82.txt,WA
89,dok396.txt,WA
90,dok15.txt,WA
91,dok86.txt,WA
92,dok117.txt,WA
93,dok46.txt,WA
94,dok390.txt,WA
95,dok236.txt,WA
96,dok267.txt,WA
97,dok308.txt,WA
98,dok368.txt,WA
99,dok297.txt,WA
100,dok198.txt,WA
