rank,document,verdict
1,dok315.txt,AC
2,dok273.txt,AC
3,dok142.txt,AC
4,dok71.txt,AC
5,dok394.txt,AC
6,dok343.txt,WA
7,dok247.txt,WA
8,dok139.txt,WA
9,dok68.txt,WA
10,dok229.txt,WA
11,dok348.txt,WA
12,dok140.txt,WA
13,dok69.txt,WA
14,dok271.txt,WA
15,dok327.txt,WA
16,dok217.txt,WA
17,dok1.txt,WA
18,dok72.txt,WA
19,dok224.txt,WA
20,dok15.txt,WA
21,dok86.txt,WA
22,dok103.txt,WA
23,dok32.txt,WA
24,dok399.txt,WA
25,dok144.txt,WA
26,dok281.txt,WA
27,dok243.txt,WA
28,dok145.txt,WA
29,dok209.txt,WA
30,dok234.txt,WA
31,dok402.txt,WA
32,dok220.txt,WA
33,dok385.txt,WA
34,dok111.txt,WA
35,dok40.txt,WA
36,dok390.txt,WA
37,dok179.txt,WA
38,dok104.txt,WA
39,dok33.txt,WA
40,dok328.txt,WA
41,dok157.txt,WA
42,dok3.txt,WA
43,dok74.txt,WA
44,dok296.txt,WA
45,dok261.txt,WA
46,dok25.txt,WA
47,dok96.txt,WA
48,dok201.txt,WA
49,dok197.txt,WA
50,dok128.txt,WA
51,dok57.txt,WA
52,dok216.txt,WA
53,dok11.txt,WA
54,dok82.txt,WA
55,dok21.txt,WA
56,dok92.txt,WA
57,dok149.txt,WA
58,dok161.txt,WA
59,dok28.txt,WA
60,dok99.txt,WA
61,dok131.txt,WA
62,dok60.txt,WA
63,dok248.txt,WA
64,dok253.txt,WA
65,dok176.txt,WA
66,dok276.txt,WA
67,dok211.txt,WA
68,dok300.txt,WA
69,dok401.txt,WA
70,dok269.txt,WA
71,dok200.txt,WA
72,dok354.txt,WA
73,dok110.txt,WA
74,dok39.txt,WA
75,dok371.txt,WA
76,dok347.txt,WA
77,dok106.txt,WA
78,dok35.txt,WA
79,dok361.txt,WA
80,dok280.txt,WA
81,dok292.txt,WA
82,dok189.txt,WA
83,dok319.txt,WA
84,dok284.txt,WA
85,dok162.txt,WA
86,dok168.txt,WA
87,dok226.txt,WA
88,dok320.txt,WA
89,dok321.txt,WA
90,dok274.txt,WA
91,dok170.txt,WA
92,dok299.txt,WA
93,dok191.txt,WA
94,dok326.txt,WA
95,dok225.txt,WA
96,dok270.txt,WA
97,dok207.txt,WA
98,dok370.txt,WA
99,dok166.txt,WA
100,dok210.txt,WA
