rank,document,verdict
1,dok18.txt,AC
2,dok89.txt,AC
3,dok402.txt,WA
4,dok16.txt,WA
5,dok266.txt,WA
6,dok87.txt,WA
7,dok385.txt,WA
8,dok115.txt,WA
9,dok44.txt,WA
10,dok247.txt,WA
11,dok249.txt,WA
12,dok300.txt,WA
13,dok25.txt,WA
14,dok96.txt,WA
15,dok253.txt,WA
16,dok157.txt,WA
17,dok371.txt,WA
18,dok23.txt,WA
19,dok94.txt,WA
20,dok210.txt,WA
21,dok113.txt,WA
22,dok42.txt,WA
23,dok389.txt,WA
24,dok390.txt,WA
25,dok328.txt,WA
26,dok213.txt,WA
27,dok138.txt,WA
28,dok67.txt,WA
29,dok120.txt,WA
30,dok49.txt,WA
31,dok218.txt,WA
32,dok399.txt,WA
33,dok183.txt,WA
34,dok331.txt,WA
35,dok334.txt,WA
36,dok20.txt,WA
37,dok91.txt,WA
38,dok111.txt,WA
39,dok40.txt,WA
40,dok242.txt,WA
41,dok357.txt,WA
42,dok238.txt,WA
43,dok373.txt,WA
44,dok270.txt,WA
45,dok174.txt,WA
46,dok345.txt,WA
47,dok121.txt,WA
48,dok50.txt,WA
49,dok274.txt,WA
50,dok168.txt,WA
51,dok350.txt,WA
52,dok401.txt,WA
53,dok329.txt,WA
54,dok162.txt,WA
55,dok188.txt,WA
56,dok228.txt,WA
57,dok365.txt,WA
58,dok211.txt,WA
59,dok354.txt,WA
60,dok374.txt,WA
61,dok372.txt,WA
62,dok255.txt,WA
63,dok1.txt,WA
64,dok72.txt,WA
65,dok4.txt,WA
66,dok75.txt,WA
67,dok269.txt,WA
68,dok204.txt,WA
69,dok290.txt,WA
70,dok296.txt,WA
71,dok148.txt,WA
72,dok285.txt,WA
73,dok27.txt,WA
74,dok98.txt,WA
75,dok394.txt,WA
76,dok243.txt,WA
77,dok142.txt,WA
78,dok71.txt,WA
79,dok136.txt,WA
80,dok65.txt,WA
81,dok261.txt,WA
82,dok309.txt,WA
83,dok203.txt,WA
84,dok125.txt,WA
85,dok54.txt,WA
86,dok217.txt,WA
87,dok250.txt,WA
88,dok280.txt,WA
89,dok79.txt,WA
90,dok8.txt,WA
91,dok134.txt,WA
92,dok63.txt,WA
93,dok236.txt,WA
94,dok260.txt,WA
95,dok129.txt,WA
96,dok58.txt,WA
97,dok276.txt,WA
98,dok2.txt,WA
99,dok73.txt,WA
100,dok21.txt,WA
