rank,document,verdict
1,dok394.txt,WA
2,dok24.txt,WA
3,dok95.txt,WA
4,dok269.txt,WA
5,dok393.txt,WA
6,dok186.txt,WA
7,dok385.txt,WA
8,dok319.txt,WA
9,dok189.txt,WA
10,dok400.txt,WA
11,dok142.txt,WA
12,dok71.txt,WA
13,dok125.txt,WA
14,dok54.txt,WA
15,dok217.txt,WA
16,dok275.txt,WA
17,dok111.txt,WA
18,dok40.txt,WA
19,dok203.txt,WA
20,dok351.txt,WA
21,dok390.txt,WA
22,dok209.txt,WA
23,dok270.txt,WA
24,dok133.txt,WA
25,dok62.txt,WA
26,dok231.txt,WA
27,dok188.txt,WA
28,dok115.txt,WA
29,dok44.txt,WA
30,dok213.txt,WA
31,dok264.txt,WA
32,dok272.txt,WA
33,dok353.txt,WA
34,dok176.txt,WA
35,dok196.txt,WA
36,dok166.txt,WA
37,dok374.txt,WA
38,dok233.txt,WA
39,dok129.txt,WA
40,dok58.txt,WA
41,dok27.txt,WA
42,dok98.txt,WA
43,dok17.txt,WA
44,dok88.txt,WA
45,dok165.txt,WA
46,dok183.txt,WA
47,dok243.txt,WA
48,dok259.txt,WA
49,dok124.txt,AC
50,dok53.txt,AC
