rank,document,verdict
1,dok253.txt,WA
2,dok394.txt,AC
3,dok402.txt,WA
4,dok269.txt,WA
5,dok365.txt,AC
6,dok248.txt,WA
7,dok385.txt,WA
8,dok261.txt,WA
9,dok202.txt,WA
10,dok142.txt,AC
11,dok71.txt,AC
12,dok319.txt,WA
13,dok189.txt,WA
14,dok390.txt,WA
15,dok197.txt,WA
16,dok217.txt,WA
17,dok275.txt,WA
18,dok161.txt,WA
19,dok111.txt,WA
20,dok40.txt,WA
21,dok203.txt,WA
22,dok249.txt,AC
23,dok343.txt,AC
24,dok140.txt,WA
25,dok69.txt,WA
26,dok137.txt,WA
27,dok210.txt,WA
28,dok353.txt,WA
29,dok165.txt,WA
30,dok283.txt,WA
31,dok208.txt,AC
32,dok236.txt,WA
33,dok304.txt,WA
34,dok230.txt,AC
35,dok159.txt,WA
36,dok218.txt,WA
37,dok228.txt,WA
38,dok79.txt,WA
39,dok8.txt,WA
40,dok17.txt,WA
41,dok88.txt,WA
42,dok251.txt,AC
43,dok240.txt,WA
44,dok139.txt,WA
45,dok68.txt,WA
46,dok141.txt,AC
47,dok70.txt,AC
48,dok103.txt,WA
49,dok32.txt,WA
50,dok252.txt,WA
