rank,document,verdict
1,dok331.txt,WA
2,dok24.txt,WA
3,dok95.txt,WA
4,dok385.txt,AC
5,dok253.txt,WA
6,dok394.txt,WA
7,dok113.txt,WA
8,dok42.txt,WA
9,dok142.txt,WA
10,dok71.txt,WA
11,dok145.txt,WA
12,dok25.txt,AC
13,dok96.txt,AC
14,dok157.txt,AC
15,dok402.txt,WA
16,dok372.txt,WA
17,dok261.txt,WA
18,dok269.txt,WA
19,dok276.txt,WA
20,dok393.txt,WA
21,dok368.txt,WA
22,dok343.txt,WA
23,dok161.txt,WA
24,dok380.txt,AC
25,dok21.txt,WA
26,dok92.txt,WA
27,dok11.txt,WA
28,dok82.txt,WA
29,dok365.txt,WA
30,dok179.txt,WA
31,dok3.txt,WA
32,dok74.txt,WA
33,dok386.txt,WA
34,dok224.txt,WA
35,dok200.txt,WA
36,dok274.txt,WA
37,dok371.txt,WA
38,dok191.txt,WA
39,dok326.txt,WA
40,dok384.txt,WA
41,dok148.txt,WA
42,dok285.txt,WA
43,dok298.txt,WA
44,dok305.txt,WA
45,dok194.txt,WA
46,dok115.txt,WA
47,dok44.txt,WA
48,dok108.txt,WA
49,dok37.txt,WA
50,dok228.txt,WA
51,dok258.txt,WA
52,dok399.txt,WA
53,dok209.txt,WA
54,dok1.txt,WA
55,dok72.txt,WA
56,dok267.txt,WA
57,dok308.txt,WA
58,dok217.txt,WA
59,dok2.txt,WA
60,dok73.txt,WA
61,dok112.txt,WA
62,dok41.txt,WA
63,dok401.txt,WA
64,dok235.txt,WA
65,dok162.txt,WA
66,dok280.txt,WA
67,dok5.txt,WA
68,dok76.txt,WA
69,dok344.txt,WA
70,dok135.txt,WA
71,dok64.txt,WA
72,dok121.txt,WA
73,dok50.txt,WA
74,dok243.txt,WA
75,dok389.txt,WA
76,dok260.txt,WA
77,dok245.txt,WA
78,dok247.txt,WA
79,dok242.txt,WA
80,dok370.txt,WA
81,dok232.txt,WA
82,dok203.txt,WA
83,dok207.txt,WA
84,dok296.txt,WA
85,dok168.txt,WA
86,dok216.txt,WA
87,dok107.txt,WA
88,dok36.txt,WA
89,dok291.txt,WA
90,dok309.txt,WA
91,dok192.txt,WA
92,dok255.txt,WA
93,dok300.txt,WA
94,dok211.txt,WA
95,dok354.txt,WA
96,dok233.txt,WA
97,dok301.txt,WA
98,dok190.txt,WA
99,dok329.txt,WA
100,dok252.txt,WA
