rank,document,verdict
1,dok385.txt,AC
2,dok24.txt,AC
3,dok95.txt,AC
4,dok394.txt,AC
5,dok243.txt,WA
6,dok19.txt,WA
7,dok90.txt,WA
8,dok157.txt,WA
9,dok263.txt,AC
10,dok15.txt,AC
11,dok86.txt,WA
12,dok383.txt,AC
13,dok265.txt,AC
14,dok322.txt,AC
15,dok126.txt,WA
16,dok55.txt,WA
17,dok79.txt,AC
18,dok8.txt,AC
19,dok162.txt,WA
20,dok80.txt,AC
21,dok9.txt,AC
22,dok22.txt,WA
23,dok93.txt,AC
24,dok165.txt,WA
25,dok20.txt,WA
26,dok91.txt,AC
27,dok17.txt,WA
28,dok88.txt,AC
29,dok268.txt,WA
30,dok325.txt,WA
31,dok21.txt,AC
32,dok92.txt,AC
33,dok331.txt,WA
34,dok102.txt,WA
35,dok31.txt,WA
36,dok384.txt,WA
37,dok25.txt,WA
38,dok96.txt,WA
39,dok304.txt,WA
40,dok390.txt,WA
41,dok231.txt,WA
42,dok351.txt,WA
43,dok23.txt,WA
44,dok94.txt,WA
45,dok186.txt,WA
46,dok356.txt,WA
47,dok3.txt,WA
48,dok74.txt,WA
49,dok113.txt,WA
50,dok42.txt,WA
