rank,document,verdict
1,dok126.txt,AC
2,dok55.txt,AC
3,dok6.txt,AC
4,dok77.txt,AC
5,dok195.txt,WA
6,dok127.txt,WA
7,dok56.txt,WA
8,dok111.txt,WA
9,dok40.txt,WA
10,dok353.txt,WA
11,dok385.txt,WA
12,dok365.txt,WA
13,dok176.txt,WA
14,dok264.txt,WA
15,dok24.txt,WA
16,dok95.txt,WA
17,dok203.txt,WA
18,dok202.txt,WA
19,dok386.txt,WA
20,dok189.txt,WA
21,dok319.txt,WA
22,dok11.txt,WA
23,dok82.txt,WA
24,dok392.txt,WA
25,dok206.txt,WA
26,dok269.txt,WA
27,dok295.txt,WA
28,dok80.txt,WA
29,dok9.txt,WA
30,dok253.txt,WA
31,dok159.txt,WA
32,dok227.txt,WA
33,dok401.txt,WA
34,dok297.txt,WA
35,dok15.txt,WA
36,dok86.txt,WA
37,dok115.txt,WA
38,dok44.txt,WA
39,dok113.txt,WA
40,dok42.txt,WA
41,dok331.txt,WA
42,dok275.txt,WA
43,dok328.txt,WA
44,dok2.txt,WA
45,dok73.txt,WA
46,dok10.txt,WA
47,dok81.txt,WA
48,dok130.txt,WA
49,dok59.txt,WA
50,dok267.txt,WA
