rank,document,verdict
1,dok353.txt,WA
2,dok111.txt,WA
3,dok40.txt,WA
4,dok208.txt,AC
5,dok228.txt,WA
6,dok217.txt,WA
7,dok394.txt,AC
8,dok319.txt,WA
9,dok189.txt,WA
10,dok197.txt,WA
11,dok365.txt,WA
12,dok140.txt,WA
13,dok69.txt,WA
14,dok240.txt,WA
15,dok230.txt,WA
16,dok248.txt,WA
17,dok374.txt,WA
18,dok103.txt,AC
19,dok32.txt,AC
20,dok231.txt,WA
21,dok351.txt,WA
22,dok343.txt,AC
23,dok370.txt,WA
24,dok142.txt,AC
25,dok71.txt,AC
26,dok251.txt,WA
27,dok159.txt,WA
28,dok270.txt,WA
29,dok149.txt,WA
30,dok210.txt,WA
31,dok253.txt,WA
32,dok241.txt,WA
33,dok400.txt,AC
34,dok350.txt,WA
35,dok373.txt,WA
36,dok249.txt,AC
37,dok139.txt,WA
38,dok68.txt,WA
39,dok214.txt,WA
40,dok209.txt,WA
41,dok402.txt,WA
42,dok342.txt,AC
43,dok221.txt,WA
44,dok378.txt,WA
45,dok150.txt,WA
46,dok250.txt,WA
47,dok359.txt,WA
48,dok169.txt,WA
49,dok165.txt,WA
50,dok203.txt,WA
