rank,document,verdict
1,dok195.txt,AC
2,dok110.txt,AC
3,dok39.txt,AC
4,dok365.txt,AC
5,dok140.txt,WA
6,dok69.txt,WA
7,dok248.txt,AC
8,dok394.txt,WA
9,dok209.txt,WA
10,dok343.txt,WA
11,dok402.txt,AC
12,dok247.txt,WA
13,dok249.txt,WA
14,dok142.txt,WA
15,dok71.txt,WA
16,dok276.txt,WA
17,dok221.txt,WA
18,dok215.txt,WA
19,dok243.txt,WA
20,dok203.txt,WA
21,dok255.txt,WA
22,dok145.txt,WA
23,dok212.txt,WA
24,dok200.txt,WA
25,dok204.txt,WA
26,dok218.txt,WA
27,dok253.txt,WA
28,dok236.txt,WA
29,dok192.txt,WA
30,dok309.txt,WA
31,dok161.txt,WA
32,dok296.txt,WA
33,dok260.txt,WA
34,dok228.txt,WA
35,dok168.txt,WA
36,dok22.txt,WA
37,dok93.txt,WA
38,dok385.txt,WA
39,dok217.txt,WA
40,dok401.txt,WA
41,dok399.txt,WA
42,dok147.txt,WA
43,dok153.txt,WA
44,dok289.txt,WA
45,dok230.txt,WA
46,dok174.txt,WA
47,dok345.txt,WA
48,dok379.txt,WA
49,dok24.txt,WA
50,dok95.txt,WA
