rank,document,verdict
1,dok213.txt,AC
2,dok364.txt,AC
3,dok247.txt,WA
4,dok299.txt,WA
5,dok399.txt,WA
6,dok296.txt,WA
7,dok385.txt,WA
8,dok400.txt,AC
9,dok276.txt,WA
10,dok369.txt,WA
11,dok145.txt,WA
12,dok228.txt,WA
13,dok225.txt,WA
14,dok291.txt,WA
15,dok142.txt,WA
16,dok71.txt,WA
17,dok176.txt,WA
18,dok283.txt,WA
19,dok274.txt,WA
20,dok161.txt,WA
21,dok18.txt,WA
22,dok89.txt,WA
23,dok166.txt,WA
24,dok192.txt,WA
25,dok200.txt,WA
26,dok243.txt,WA
27,dok309.txt,WA
28,dok402.txt,WA
29,dok261.txt,WA
30,dok255.txt,WA
31,dok373.txt,WA
32,dok127.txt,WA
33,dok56.txt,WA
34,dok150.txt,WA
35,dok169.txt,WA
36,dok168.txt,WA
37,dok249.txt,WA
38,dok260.txt,WA
39,dok217.txt,WA
40,dok128.txt,WA
41,dok57.txt,WA
42,dok104.txt,WA
43,dok33.txt,WA
44,dok300.txt,WA
45,dok379.txt,WA
46,dok272.txt,WA
47,dok401.txt,WA
48,dok183.txt,WA
49,dok253.txt,WA
50,dok365.txt,WA
