rank,document,verdict
1,dok240.txt,WA
2,dok353.txt,WA
3,dok365.txt,WA
4,dok142.txt,AC
5,dok71.txt,AC
6,dok385.txt,WA
7,dok115.txt,WA
8,dok44.txt,WA
9,dok275.txt,WA
10,dok394.txt,WA
11,dok111.txt,WA
12,dok40.txt,WA
13,dok159.txt,WA
14,dok269.txt,WA
15,dok189.txt,WA
16,dok319.txt,WA
17,dok6.txt,WA
18,dok77.txt,WA
19,dok24.txt,WA
20,dok95.txt,WA
21,dok188.txt,WA
22,dok180.txt,WA
23,dok203.txt,WA
24,dok343.txt,AC
25,dok253.txt,WA
26,dok280.txt,WA
27,dok368.txt,WA
28,dok261.txt,WA
29,dok230.txt,WA
30,dok397.txt,WA
31,dok331.txt,WA
32,dok162.txt,WA
33,dok149.txt,WA
34,dok183.txt,WA
35,dok181.txt,WA
36,dok337.txt,WA
37,dok266.txt,WA
38,dok16.txt,WA
39,dok87.txt,WA
40,dok243.txt,WA
41,dok11.txt,WA
42,dok82.txt,WA
43,dok392.txt,WA
44,dok113.txt,WA
45,dok42.txt,WA
46,dok272.txt,WA
47,dok347.txt,WA
48,dok295.txt,WA
49,dok157.txt,WA
50,dok193.txt,WA
51,dok334.txt,WA
52,dok217.txt,WA
53,dok252.txt,WA
54,dok291.txt,WA
55,dok131.txt,WA
56,dok60.txt,WA
57,dok126.txt,WA
58,dok55.txt,WA
59,dok165.txt,WA
60,dok17.txt,WA
61,dok88.txt,WA
62,dok7.txt,WA
63,dok78.txt,WA
64,dok146.txt,WA
65,dok198.txt,WA
66,dok4.txt,WA
67,dok75.txt,WA
68,dok209.txt,WA
69,dok129.txt,WA
70,dok58.txt,WA
71,dok402.txt,WA
72,dok374.txt,WA
73,dok177.txt,WA
74,dok200.txt,WA
75,dok101.txt,WA
76,dok30.txt,WA
77,dok21.txt,WA
78,dok92.txt,WA
79,dok170.txt,WA
80,dok179.txt,WA
81,dok25.txt,WA
82,dok96.txt,WA
83,dok371.txt,WA
84,dok207.txt,WA
85,dok356.txt,WA
86,dok279.txt,WA
87,dok166.txt,WA
88,dok117.txt,WA
89,dok46.txt,WA
90,dok156.txt,WA
91,dok248.txt,WA
92,dok296.txt,WA
93,dok333.txt,WA
94,dok145.txt,WA
95,dok383.txt,WA
96,dok338.txt,WA
97,dok105.txt,WA
98,dok34.txt,WA
99,dok284.txt,WA
100,dok204.txt,WA
