rank,document,verdict
1,dok212.txt,AC
2,dok283.txt,WA
3,dok228.txt,WA
4,dok161.txt,WA
5,dok230.txt,WA
6,dok275.txt,WA
7,dok232.txt,AC
8,dok247.txt,WA
9,dok269.txt,WA
10,dok365.txt,AC
11,dok251.txt,WA
12,dok249.txt,WA
13,dok208.txt,WA
14,dok344.txt,WA
15,dok253.txt,AC
16,dok296.txt,WA
17,dok218.txt,AC
18,dok399.txt,WA
19,dok231.txt,WA
20,dok351.txt,WA
21,dok267.txt,WA
22,dok308.txt,WA
23,dok276.txt,WA
24,dok222.txt,WA
25,dok215.txt,AC
26,dok298.txt,WA
27,dok236.txt,WA
28,dok205.txt,WA
29,dok225.txt,WA
30,dok363.txt,WA
31,dok376.txt,WA
32,dok145.txt,WA
33,dok235.txt,WA
34,dok369.txt,WA
35,dok144.txt,WA
36,dok307.txt,WA
37,dok401.txt,WA
38,dok148.txt,WA
39,dok285.txt,WA
40,dok378.txt,WA
41,dok227.txt,WA
42,dok402.txt,WA
43,dok201.txt,WA
44,dok377.txt,WA
45,dok257.txt,WA
46,dok272.txt,WA
47,dok246.txt,WA
48,dok379.txt,WA
49,dok143.txt,WA
50,dok288.txt,WA
51,dok394.txt,WA
52,dok234.txt,WA
53,dok373.txt,WA
54,dok158.txt,WA
55,dok286.txt,WA
56,dok16.txt,WA
57,dok266.txt,WA
58,dok87.txt,WA
59,dok14.txt,WA
60,dok167.txt,WA
61,dok316.txt,WA
62,dok85.txt,WA
63,dok224.txt,WA
64,dok335.txt,WA
65,dok350.txt,WA
66,dok366.txt,WA
67,dok362.txt,WA
68,dok256.txt,WA
69,dok192.txt,WA
70,dok139.txt,WA
71,dok68.txt,WA
72,dok367.txt,WA
73,dok180.txt,WA
74,dok147.txt,WA
75,dok153.txt,WA
76,dok289.txt,WA
77,dok140.txt,WA
78,dok69.txt,WA
79,dok398.txt,WA
80,dok400.txt,WA
81,dok258.txt,WA
82,dok340.txt,WA
83,dok210.txt,WA
84,dok169.txt,WA
85,dok368.txt,WA
86,dok112.txt,WA
87,dok41.txt,WA
88,dok150.txt,WA
89,dok395.txt,WA
90,dok110.txt,WA
91,dok39.txt,WA
92,dok26.txt,WA
93,dok97.txt,WA
94,dok178.txt,WA
95,dok184.txt,WA
96,dok268.txt,WA
97,dok325.txt,WA
98,dok302.txt,WA
99,dok181.txt,WA
100,dok317.txt,WA
