rank,document,verdict
1,dok385.txt,WA
2,dok218.txt,WA
3,dok402.txt,WA
4,dok115.txt,WA
5,dok44.txt,WA
6,dok274.txt,WA
7,dok224.txt,WA
8,dok142.txt,AC
9,dok71.txt,AC
10,dok328.txt,WA
11,dok280.txt,WA
12,dok253.txt,WA
13,dok247.txt,WA
14,dok157.txt,WA
15,dok365.txt,WA
16,dok401.txt,WA
17,dok228.txt,WA
18,dok25.txt,WA
19,dok96.txt,WA
20,dok164.txt,WA
21,dok287.txt,WA
22,dok331.txt,WA
23,dok24.txt,WA
24,dok95.txt,WA
25,dok371.txt,WA
26,dok211.txt,WA
27,dok354.txt,WA
28,dok341.txt,WA
29,dok113.txt,WA
30,dok42.txt,WA
31,dok103.txt,AC
32,dok32.txt,AC
33,dok393.txt,WA
34,dok111.txt,WA
35,dok40.txt,WA
36,dok23.txt,WA
37,dok94.txt,WA
38,dok176.txt,WA
39,dok173.txt,WA
40,dok323.txt,WA
41,dok399.txt,WA
42,dok174.txt,WA
43,dok345.txt,WA
44,dok390.txt,WA
45,dok1.txt,WA
46,dok72.txt,WA
47,dok269.txt,WA
48,dok18.txt,WA
49,dok89.txt,WA
50,dok168.txt,WA
51,dok394.txt,AC
52,dok304.txt,WA
53,dok209.txt,WA
54,dok210.txt,WA
55,dok243.txt,WA
56,dok203.txt,WA
57,dok333.txt,WA
58,dok16.txt,WA
59,dok266.txt,WA
60,dok87.txt,WA
61,dok270.txt,WA
62,dok108.txt,WA
63,dok37.txt,WA
64,dok162.txt,WA
65,dok276.txt,WA
66,dok260.txt,WA
67,dok148.txt,WA
68,dok285.txt,WA
69,dok131.txt,WA
70,dok60.txt,WA
71,dok145.txt,WA
72,dok79.txt,WA
73,dok8.txt,WA
74,dok106.txt,WA
75,dok35.txt,WA
76,dok4.txt,WA
77,dok75.txt,WA
78,dok231.txt,WA
79,dok351.txt,WA
80,dok369.txt,WA
81,dok400.txt,WA
82,dok183.txt,WA
83,dok159.txt,WA
84,dok207.txt,WA
85,dok381.txt,WA
86,dok249.txt,WA
87,dok370.txt,WA
88,dok121.txt,WA
89,dok50.txt,WA
90,dok177.txt,WA
91,dok261.txt,WA
92,dok15.txt,WA
93,dok86.txt,WA
94,dok300.txt,WA
95,dok382.txt,WA
96,dok213.txt,WA
97,dok240.txt,WA
98,dok236.txt,WA
99,dok334.txt,WA
100,dok155.txt,WA
