rank,document,verdict
1,dok390.txt,AC
2,dok115.txt,AC
3,dok44.txt,AC
4,dok23.txt,WA
5,dok94.txt,WA
6,dok20.txt,AC
7,dok91.txt,AC
8,dok113.txt,WA
9,dok42.txt,WA
10,dok331.txt,WA
11,dok263.txt,AC
12,dok159.txt,WA
13,dok334.txt,WA
14,dok387.txt,AC
15,dok17.txt,AC
16,dok88.txt,AC
17,dok165.txt,AC
18,dok356.txt,AC
19,dok162.txt,WA
20,dok373.txt,WA
21,dok102.txt,WA
22,dok31.txt,WA
23,dok332.txt,WA
24,dok79.txt,WA
25,dok8.txt,WA
26,dok325.txt,WA
27,dok268.txt,WA
28,dok383.txt,WA
29,dok388.txt,WA
30,dok157.txt,AC
31,dok261.txt,WA
32,dok27.txt,WA
33,dok98.txt,WA
34,dok302.txt,AC
35,dok138.txt,WA
36,dok67.txt,WA
37,dok355.txt,WA
38,dok10.txt,WA
39,dok81.txt,WA
40,dok304.txt,WA
41,dok26.txt,WA
42,dok97.txt,WA
43,dok214.txt,WA
44,dok333.txt,WA
45,dok80.txt,WA
46,dok9.txt,WA
47,dok14.txt,WA
48,dok167.txt,WA
49,dok316.txt,WA
50,dok85.txt,WA
