rank,document,verdict
1,dok6.txt,WA
2,dok77.txt,WA
3,dok127.txt,AC
4,dok56.txt,AC
5,dok80.txt,WA
6,dok9.txt,WA
7,dok113.txt,WA
8,dok42.txt,WA
9,dok383.txt,WA
10,dok387.txt,WA
11,dok263.txt,WA
12,dok23.txt,WA
13,dok94.txt,WA
14,dok10.txt,WA
15,dok81.txt,WA
16,dok126.txt,WA
17,dok55.txt,WA
18,dok390.txt,WA
19,dok11.txt,WA
20,dok82.txt,WA
21,dok79.txt,WA
22,dok8.txt,WA
23,dok268.txt,WA
24,dok325.txt,WA
25,dok236.txt,WA
26,dok24.txt,WA
27,dok95.txt,WA
28,dok331.txt,WA
29,dok20.txt,WA
30,dok91.txt,WA
31,dok165.txt,WA
32,dok17.txt,WA
33,dok88.txt,WA
34,dok334.txt,WA
35,dok14.txt,WA
36,dok85.txt,WA
37,dok388.txt,WA
38,dok167.txt,WA
39,dok316.txt,WA
40,dok386.txt,WA
41,dok13.txt,WA
42,dok84.txt,WA
43,dok385.txt,WA
44,dok356.txt,WA
45,dok15.txt,WA
46,dok86.txt,WA
47,dok115.txt,WA
48,dok44.txt,WA
49,dok304.txt,WA
50,dok162.txt,WA
