rank,document,verdict
1,dok397.txt,WA
2,dok2.txt,WA
3,dok73.txt,WA
4,dok342.txt,AC
5,dok103.txt,WA
6,dok32.txt,WA
7,dok396.txt,WA
8,dok142.txt,AC
9,dok71.txt,AC
10,dok15.txt,WA
11,dok86.txt,WA
12,dok157.txt,WA
13,dok79.txt,WA
14,dok8.txt,WA
15,dok230.txt,WA
16,dok304.txt,WA
17,dok394.txt,AC
18,dok140.txt,WA
19,dok69.txt,WA
20,dok368.txt,WA
21,dok258.txt,WA
22,dok343.txt,WA
23,dok16.txt,WA
24,dok87.txt,WA
25,dok19.txt,WA
26,dok90.txt,WA
27,dok25.txt,WA
28,dok96.txt,WA
29,dok121.txt,WA
30,dok50.txt,WA
31,dok266.txt,WA
32,dok176.txt,WA
33,dok365.txt,WA
34,dok1.txt,WA
35,dok72.txt,WA
36,dok280.txt,WA
37,dok114.txt,WA
38,dok43.txt,WA
39,dok179.txt,WA
40,dok109.txt,WA
41,dok38.txt,WA
42,dok305.txt,WA
43,dok271.txt,WA
44,dok327.txt,WA
45,dok250.txt,WA
46,dok139.txt,WA
47,dok68.txt,WA
48,dok387.txt,WA
49,dok123.txt,WA
50,dok52.txt,WA
