rank,document,verdict
1,dok184.txt,WA
2,dok339.txt,WA
3,dok298.txt,WA
4,dok144.txt,AC
5,dok378.txt,WA
6,dok377.txt,WA
7,dok376.txt,WA
8,dok367.txt,WA
9,dok284.txt,WA
10,dok276.txt,WA
11,dok373.txt,WA
12,dok398.txt,AC
13,dok296.txt,WA
14,dok106.txt,WA
15,dok35.txt,WA
16,dok105.txt,WA
17,dok34.txt,WA
18,dok344.txt,WA
19,dok283.txt,WA
20,dok214.txt,WA
21,dok368.txt,AC
22,dok147.txt,AC
23,dok153.txt,AC
24,dok289.txt,AC
25,dok365.txt,WA
26,dok212.txt,WA
27,dok235.txt,WA
28,dok145.txt,AC
29,dok295.txt,WA
30,dok379.txt,WA
31,dok269.txt,WA
32,dok281.txt,AC
33,dok228.txt,WA
34,dok399.txt,WA
35,dok161.txt,AC
36,dok223.txt,WA
37,dok324.txt,WA
38,dok359.txt,WA
39,dok148.txt,WA
40,dok253.txt,WA
41,dok249.txt,WA
42,dok285.txt,WA
43,dok164.txt,WA
44,dok287.txt,WA
45,dok277.txt,WA
46,dok362.txt,WA
47,dok237.txt,WA
48,dok225.txt,WA
49,dok247.txt,WA
50,dok240.txt,WA
51,dok369.txt,WA
52,dok294.txt,WA
53,dok242.txt,WA
54,dok357.txt,WA
55,dok146.txt,WA
56,dok156.txt,WA
57,dok248.txt,WA
58,dok230.txt,AC
59,dok203.txt,WA
60,dok380.txt,WA
61,dok114.txt,WA
62,dok43.txt,WA
63,dok216.txt,WA
64,dok155.txt,WA
65,dok199.txt,WA
66,dok197.txt,WA
67,dok341.txt,WA
68,dok193.txt,WA
69,dok306.txt,WA
70,dok257.txt,WA
71,dok375.txt,WA
72,dok110.txt,WA
73,dok39.txt,WA
74,dok174.txt,WA
75,dok345.txt,WA
76,dok143.txt,AC
77,dok158.txt,AC
78,dok286.txt,AC
79,dok270.txt,WA
80,dok288.txt,WA
81,dok211.txt,WA
82,dok272.txt,WA
83,dok208.txt,WA
84,dok354.txt,WA
85,dok251.txt,WA
86,dok183.txt,WA
87,dok353.txt,WA
88,dok26.txt,WA
89,dok97.txt,WA
90,dok401.txt,WA
91,dok169.txt,WA
92,dok307.txt,AC
93,dok215.txt,WA
94,dok181.txt,WA
95,dok231.txt,AC
96,dok351.txt,WA
97,dok150.txt,WA
98,dok138.txt,WA
99,dok67.txt,WA
100,dok178.txt,WA
