rank,document,verdict
1,dok101.txt,WA
2,dok30.txt,WA
3,dok24.txt,WA
4,dok95.txt,WA
5,dok253.txt,WA
6,dok385.txt,WA
7,dok113.txt,WA
8,dok42.txt,WA
9,dok142.txt,WA
10,dok71.txt,WA
11,dok189.txt,WA
12,dok319.txt,WA
13,dok248.txt,WA
14,dok402.txt,WA
15,dok145.txt,AC
16,dok111.txt,WA
17,dok40.txt,WA
18,dok376.txt,WA
19,dok276.txt,AC
20,dok368.txt,WA
21,dok200.txt,WA
22,dok202.txt,WA
23,dok257.txt,WA
24,dok275.txt,WA
25,dok161.txt,WA
26,dok365.txt,WA
27,dok400.txt,WA
28,dok3.txt,WA
29,dok74.txt,WA
30,dok144.txt,WA
31,dok149.txt,WA
32,dok228.txt,WA
33,dok281.txt,WA
34,dok274.txt,WA
35,dok363.txt,WA
36,dok179.txt,WA
37,dok399.txt,WA
38,dok148.txt,WA
39,dok285.txt,WA
40,dok362.txt,WA
41,dok108.txt,WA
42,dok37.txt,WA
43,dok22.txt,WA
44,dok93.txt,WA
45,dok217.txt,WA
46,dok307.txt,WA
47,dok186.txt,WA
48,dok225.txt,WA
49,dok387.txt,WA
50,dok115.txt,WA
51,dok44.txt,WA
52,dok213.txt,WA
53,dok353.txt,WA
54,dok143.txt,WA
55,dok158.txt,WA
56,dok286.txt,WA
57,dok209.txt,WA
58,dok234.txt,WA
59,dok210.txt,WA
60,dok401.txt,WA
61,dok231.txt,WA
62,dok351.txt,WA
63,dok279.txt,WA
64,dok218.txt,WA
65,dok249.txt,WA
66,dok377.txt,WA
67,dok379.txt,WA
68,dok369.txt,WA
69,dok371.txt,WA
70,dok272.txt,WA
71,dok367.txt,WA
72,dok176.txt,WA
73,dok159.txt,WA
74,dok126.txt,WA
75,dok55.txt,WA
76,dok296.txt,WA
77,dok264.txt,WA
78,dok205.txt,WA
79,dok146.txt,WA
80,dok199.txt,WA
81,dok129.txt,WA
82,dok58.txt,WA
83,dok280.txt,WA
84,dok203.txt,WA
85,dok283.txt,WA
86,dok267.txt,WA
87,dok308.txt,WA
88,dok118.txt,WA
89,dok47.txt,WA
90,dok243.txt,WA
91,dok192.txt,WA
92,dok193.txt,WA
93,dok206.txt,WA
94,dok183.txt,WA
95,dok165.txt,WA
96,dok17.txt,WA
97,dok88.txt,WA
98,dok252.txt,WA
99,dok212.txt,WA
100,dok152.txt,WA
