rank,document,verdict
1,dok253.txt,WA
2,dok385.txt,WA
3,dok24.txt,WA
4,dok95.txt,WA
5,dok394.txt,WA
6,dok402.txt,WA
7,dok142.txt,WA
8,dok71.txt,WA
9,dok189.txt,WA
10,dok319.txt,WA
11,dok248.txt,WA
12,dok145.txt,WA
13,dok111.txt,WA
14,dok40.txt,WA
15,dok157.txt,WA
16,dok276.txt,WA
17,dok343.txt,WA
18,dok200.txt,WA
19,dok261.txt,WA
20,dok393.txt,WA
21,dok210.txt,WA
22,dok274.txt,WA
23,dok228.txt,WA
24,dok225.txt,WA
25,dok115.txt,WA
26,dok44.txt,WA
27,dok365.txt,WA
28,dok11.txt,WA
29,dok82.txt,WA
30,dok373.txt,WA
31,dok22.txt,WA
32,dok93.txt,WA
33,dok269.txt,WA
34,dok213.txt,WA
35,dok21.txt,WA
36,dok92.txt,WA
37,dok174.txt,WA
38,dok345.txt,WA
39,dok224.txt,WA
40,dok18.txt,WA
41,dok89.txt,WA
42,dok166.txt,WA
43,dok290.txt,WA
44,dok399.txt,WA
45,dok270.txt,WA
46,dok260.txt,WA
47,dok371.txt,WA
48,dok217.txt,WA
49,dok226.txt,WA
50,dok320.txt,WA
51,dok321.txt,WA
52,dok249.txt,WA
53,dok131.txt,AC
54,dok60.txt,AC
55,dok125.txt,WA
56,dok54.txt,WA
57,dok110.txt,WA
58,dok39.txt,WA
59,dok401.txt,WA
60,dok245.txt,WA
61,dok232.txt,WA
62,dok2.txt,WA
63,dok73.txt,WA
64,dok263.txt,WA
65,dok243.txt,WA
66,dok312.txt,WA
67,dok203.txt,WA
68,dok188.txt,AC
69,dok128.txt,WA
70,dok57.txt,WA
71,dok198.txt,WA
72,dok247.txt,WA
73,dok204.txt,WA
74,dok104.txt,WA
75,dok33.txt,WA
76,dok168.txt,WA
77,dok183.txt,WA
78,dok296.txt,WA
79,dok309.txt,WA
80,dok255.txt,WA
81,dok207.txt,WA
82,dok195.txt,WA
83,dok79.txt,WA
84,dok8.txt,WA
85,dok192.txt,WA
86,dok240.txt,WA
87,dok12.txt,WA
88,dok83.txt,WA
89,dok291.txt,WA
90,dok300.txt,WA
91,dok16.txt,WA
92,dok266.txt,WA
93,dok87.txt,WA
94,dok272.txt,WA
95,dok252.txt,WA
96,dok221.txt,WA
97,dok180.txt,WA
98,dok127.txt,WA
99,dok56.txt,WA
100,dok336.txt,WA
