urutan,pertanyaan,jawaban,verdict
1,Siapa presiden pada masa orde baru?,presiden ri,
2,Siapa presiden pada masa orde baru?,manipulatif,
3,Siapa presiden pada masa orde baru?,masyarakat,
4,Siapa presiden pada masa orde baru?,masyarakat,
5,Siapa presiden pada masa orde baru?,masyarakat,
6,Dimana konferensi asia afrika diselenggarakan?,kolombo,
7,Dimana konferensi asia afrika diselenggarakan?,kolombo,
8,Dimana konferensi asia afrika diselenggarakan?,jenewa,
9,Dimana konferensi asia afrika diselenggarakan?,dunia,
10,Dimana konferensi asia afrika diselenggarakan?,dunia,
11,Siapa presiden pertama Indonesia?,presiden pm,
12,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,
13,Siapa presiden pertama Indonesia?,mr sjafruddin prawiranegara presiden republik indonesia,
14,Siapa presiden pertama Indonesia?,6.00 pagi belanda,
15,Siapa presiden pertama Indonesia?,6.00 pagi belanda,
16,Kapan diponegoro wafat?,tanggal 12 rabiul awal 822,
17,Kapan diponegoro wafat?,tahun 1560,
18,Kapan diponegoro wafat?,pertengahan abad 15,
19,Kapan diponegoro wafat?,tahun 1600,
20,Kapan diponegoro wafat?,9 april 1419,
21,Kapan perjanjian saragosa terjadi?,22 april 1529,
22,Kapan perjanjian saragosa terjadi?,22 april 1529,
23,Kapan perjanjian saragosa terjadi?,22 april 1529,
24,Kapan perjanjian saragosa terjadi?,18 25 tahun,
25,Kapan perjanjian saragosa terjadi?,18 25 tahun,
26,Kapan Budi Utomo didirikan?,tahun 1932,
27,Kapan Budi Utomo didirikan?,tanggal 7 maret 1915,
28,Kapan Budi Utomo didirikan?,tahun 1920,
29,Kapan Budi Utomo didirikan?,tahun 1913,
30,Kapan Budi Utomo didirikan?,tahun 1916,
31,Siapa pendiri Taman Siswa?,parindra partindo,
32,Siapa pendiri Taman Siswa?,kaum pribumi,
33,Siapa pendiri Taman Siswa?,kaum pribumi,
34,Siapa pendiri Taman Siswa?,pawiyatan wanito,
35,Siapa pendiri Taman Siswa?,pawiyatan wanito,
36,Dimana letak kerajaan sriwijaya?,palembang,
37,Dimana letak kerajaan sriwijaya?,daerah,
38,Dimana letak kerajaan sriwijaya?,provinsi sumatera,
39,Dimana letak kerajaan sriwijaya?,india,
40,Dimana letak kerajaan sriwijaya?,daerah,
41,Kapan taman siswa didirikan?,tahun 1294,
42,Kapan taman siswa didirikan?,1922,
43,Kapan taman siswa didirikan?,1922,
44,Kapan taman siswa didirikan?,1922,
45,Kapan taman siswa didirikan?,1922,
46,dimana budi utomo didirikan?,batavia,
47,dimana budi utomo didirikan?,batavia,
48,dimana budi utomo didirikan?,batavia,
49,dimana budi utomo didirikan?,batavia,
50,dimana budi utomo didirikan?,yogyakarta,
51,dimana taman siswa didirikan?,yogyakarta,
52,dimana taman siswa didirikan?,yogyakarta,
53,dimana taman siswa didirikan?,medan,
54,dimana taman siswa didirikan?,yogyakarta,
55,dimana taman siswa didirikan?,yogyakarta,
56,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,
57,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,
58,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,
59,kapan konferensi asia afrika diselenggarakan?,bulan 18 24 april 1955,
60,kapan konferensi asia afrika diselenggarakan?,tanggal 18 24 april 1955,
61,kapan hayam wuruk wafat?,1350 1389,
62,kapan hayam wuruk wafat?,tahun 1389,
63,kapan hayam wuruk wafat?,1350 1389,
64,kapan hayam wuruk wafat?,tahun 1389,
65,kapan hayam wuruk wafat?,1350 1389,
66,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,
67,siapa wali songo yang menggunakan media pertunjukan wayang?,mubalig keliling,
68,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,
69,siapa wali songo yang menggunakan media pertunjukan wayang?,songo,
70,siapa wali songo yang menggunakan media pertunjukan wayang?,masyarakat,
71,siapa pemimpin kerajaan tidore?,sultan kaicil buko,
72,siapa pemimpin kerajaan tidore?,henry leme,
73,siapa pemimpin kerajaan tidore?,magelhaen,
74,siapa pemimpin kerajaan tidore?,sultan kaicil buko,
75,siapa pemimpin kerajaan tidore?,rakyat indonesia,
76,kapan belanda datang ke maluku?,NO ANSWER,WA
77,kapan belanda datang ke maluku?,NO ANSWER,WA
78,kapan belanda datang ke maluku?,NO ANSWER,WA
79,kapan belanda datang ke maluku?,NO ANSWER,WA
80,kapan belanda datang ke maluku?,NO ANSWER,WA
81,kapan portugis datang ke maluku?,1521,
82,kapan portugis datang ke maluku?,1521,
83,kapan portugis datang ke maluku?,1480 1521,
84,kapan portugis datang ke maluku?,1498,
85,kapan portugis datang ke maluku?,NO ANSWER,WA
86,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
87,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
88,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
89,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
90,siapa yang menandatangani perjanjian bongaya?,NO ANSWER,WA
91,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,
92,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,
93,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,
94,kapan perjanjian bongaya ditandatangani?,15 agustus 1950,
95,kapan perjanjian bongaya ditandatangani?,tanggal 18 nopember 1667,
96,siapa penulis kitab negara kertagama?,masyarakat,
97,siapa penulis kitab negara kertagama?,masyarakat,
98,siapa penulis kitab negara kertagama?,NO ANSWER,WA
99,siapa penulis kitab negara kertagama?,NO ANSWER,WA
100,siapa penulis kitab negara kertagama?,NO ANSWER,WA
101,kapan voc didirikan?,NO ANSWER,WA
102,kapan voc didirikan?,NO ANSWER,WA
103,kapan voc didirikan?,NO ANSWER,WA
104,kapan voc didirikan?,NO ANSWER,WA
105,kapan voc didirikan?,NO ANSWER,WA
106,kapan voc dibubarkan?,masa paku buwono,
107,kapan voc dibubarkan?,1670,
108,kapan voc dibubarkan?,NO ANSWER,WA
109,kapan voc dibubarkan?,NO ANSWER,WA
110,kapan voc dibubarkan?,NO ANSWER,WA
111,siapa multatuli?,NO ANSWER,WA
112,siapa multatuli?,NO ANSWER,WA
113,siapa multatuli?,NO ANSWER,WA
114,siapa multatuli?,NO ANSWER,WA
115,siapa multatuli?,NO ANSWER,WA
116,dimana pattimura dilahirkan?,NO ANSWER,WA
117,dimana pattimura dilahirkan?,NO ANSWER,WA
118,dimana pattimura dilahirkan?,NO ANSWER,WA
119,dimana pattimura dilahirkan?,NO ANSWER,WA
120,dimana pattimura dilahirkan?,NO ANSWER,WA
121,kapan pangeran antasari wafat?,11 oktober 1862,
122,kapan pangeran antasari wafat?,11 oktober 1862,
123,kapan pangeran antasari wafat?,11 oktober 1862,
124,kapan pangeran antasari wafat?,11 oktober 1862,
125,kapan pangeran antasari wafat?,1645 1660,
126,dimana pangeran antasari wafat?,kampung,
127,dimana pangeran antasari wafat?,kampung,
128,dimana pangeran antasari wafat?,jawa,
129,dimana pangeran antasari wafat?,jawa,
130,dimana pangeran antasari wafat?,martapura,
131,kapan ekspedisi pertama belanda di bali terjadi?,1846,
132,kapan ekspedisi pertama belanda di bali terjadi?,1846,
133,kapan ekspedisi pertama belanda di bali terjadi?,masa kabineg natsir tahun 1950,
134,kapan ekspedisi pertama belanda di bali terjadi?,masa kabineg natsir tahun 1950,
135,kapan ekspedisi pertama belanda di bali terjadi?,masa kabineg natsir tahun 1950,
136,kapan perlawanan di aceh terjadi?,tanggal 19 september 1945,
137,kapan perlawanan di aceh terjadi?,tanggal 1 desember 1945,
138,kapan perlawanan di aceh terjadi?,tanggal 9 oktober 1945,
139,kapan perlawanan di aceh terjadi?,NO ANSWER,WA
140,kapan perlawanan di aceh terjadi?,NO ANSWER,WA
141,siapa pendiri budi utomo?,utomo,
142,siapa pendiri budi utomo?,parindra partindo,
143,siapa pendiri budi utomo?,parindra partindo,
144,siapa pendiri budi utomo?,mahasiswa,
145,siapa pendiri budi utomo?,indische partij,
146,kapan sarekat islam didirikan?,tahun 1926,
147,kapan sarekat islam didirikan?,tahun 1911,
148,kapan sarekat islam didirikan?,tahun 1911,
149,kapan sarekat islam didirikan?,tahun 1911,
150,kapan sarekat islam didirikan?,tahun 1911,
151,siapa pendiri sarekat islam?,indische partij,
152,siapa pendiri sarekat islam?,indische partij,
153,siapa pendiri sarekat islam?,indische partij muhammadiyah,
154,siapa pendiri sarekat islam?,indische partij muhammadiyah,
155,siapa pendiri sarekat islam?,indische partij,
156,kapan indische partij didirikan?,tanggal 23 mei 1920,
157,kapan indische partij didirikan?,tanggal 22 desember 1908,
158,kapan indische partij didirikan?,tanggal 22 desember 1908,
159,kapan indische partij didirikan?,tanggal 4 mei 1914,
160,kapan indische partij didirikan?,tanggal 4 mei 1914,
